pert_id	pert_iname	gene_name	mean_z	median_z	n_signatures	observed_release
BRD-K22096725	ALW-II-49-7	RHOH	0.2212473253409067	0.3189915865659714	6	CMap2020
BRD-K22096725	ALW-II-49-7	USP6NL	0.4461207576096058	0.4235425442457199	6	CMap2020
BRD-K22096725	ALW-II-49-7	ZYX	-0.2733967018624146	-0.1530209220945835	6	CMap2020
BRD-K53979406	ALX-5407	BIN1	0.1436416705449422	0.1368499994277954	6	CMap2020
BRD-K53979406	ALX-5407	CASP2	0.95810001095136	0.8220250308513641	6	CMap2020
BRD-K53979406	ALX-5407	CASS4	-0.3977916662891705	-0.4606750011444092	6	CMap2020
BRD-K53979406	ALX-5407	CTSH	-0.1459416647752126	0.0413500070571899	6	CMap2020
BRD-K53979406	ALX-5407	EPHA1	-0.3693916797637939	-0.5114249885082245	6	CMap2020
BRD-K53979406	ALX-5407	GSTK1	0.0958000048995018	0.0885500088334083	6	CMap2020
BRD-K53979406	ALX-5407	PICALM	0.2059833432237307	0.3337999954819679	6	CMap2020
BRD-K53979406	ALX-5407	PLEKHA1	-0.1432000050942103	-0.2440750002861023	6	CMap2020
BRD-K53979406	ALX-5407	PSMC3	0.0453749944766362	-0.1217250078916549	6	CMap2020
BRD-K53979406	ALX-5407	RABEP1	-0.4631916681925456	-0.3090000003576278	6	CMap2020
